Name,Location,Nearest Station,Postal_Code,Latitude,Longitude
Greggs (Ealing),"10 The Broadway, Ealing, London, W5 2NH",Ealing Broadway,W5 2NH,51.5137538,-0.3033679
Greggs Cafe (Earl's Court),"183 Earls Court Road, Earl's Court, London, SW5 9RD",Earl's Court,SW5 9RD,51.4923309,-0.1929606
Greggs (East Croydon ),"15, Norfolk House, Wellesley Road, East Croydon , Croydon, CR0 1LH",East Croydon,CR0 1LH,51.3748693,-0.0968845
Greggs (East Ham),"95 High Street North, East Ham, London, E6 1HZ",East Ham,E6 1HZ,51.5363033,0.0519814
Greggs (Upton Park),"158 High Street North, Upton Park, London, E6 2HT",East Ham,E6 2HT,51.536353,0.0525135
Greggs (Edgware),"190C Station Road, Edgware, Edgware, HA8 7AR",Edgware,HA8 7AR,51.6143014,-0.2755348
Greggs (Elm Park),"12-13 The Broadway, Elm Park, Hornchurch, RM12 4RW",Elm Park,RM12 4RW,51.549579,0.1974303
Greggs (Eltham),"166 Eltham High Street, Eltham, London, SE9 1BJ",Eltham,SE9 1BJ,51.4506143,0.0563979
Greggs (Covent Garden),"421 Strand, Covent Garden, London, WC2R 0PS",Embankment,WC2R 0PS,51.50993,-0.12331
Greggs (Hornchurch),"148 High Street, Hornchurch, Hornchurch, RM12 6QX",Emerson Park,RM12 6QX,51.56206,0.22004
Greggs (Enfield Town),"8 Church Street, Enfield Town, Enfield, EN2 6BE",Enfield Town,EN2 6BE,51.652,-0.08329
Greggs (Town Centre),"5 Town Square, Town Centre, Erith, DA8 1RE",Erith,DA8 1RE,51.4801892,0.1799953
Greggs (Feltham),"57 The Centre, Feltham, Feltham, TW13 4AU",Feltham,TW13 4AU,51.4462565,-0.410924
Greggs (Town Centre),"8-8a, Market Parade, Hampton Road West, Town Centre, Feltham, TW13 6AL",Feltham,TW13 6AL,51.44024,-0.38695
Greggs (Finchley),"25 Ballards Lane, Finchley, London, N3 1XP",Finchley Central,N3 1XP,51.6033053,-0.1913248
Greggs (Finsbury Park),"255 Seven Sisters Road, Finsbury Park, London, N4 2DD",Finsbury Park,N4 2DD,51.5645185,-0.1051892
