Name,Location,Nearest Station,Postal_Code,Latitude,Longitude
Greggs (Cheam),"522 London Road, Cheam, Sutton, SM3 8HW",West Sutton,SM3 8HW,51.37158,-0.22699
Greggs (Sutton),"194 High Street, Sutton, Sutton, SM1 1NR",West Sutton,SM1 1NR,51.3658315,-0.1940291
Greggs (Blackheath),"28 Tranquil Vale, Blackheath, London, SE3 0AX",Westcombe Park,SE3 0AX,51.4662417,0.0089872
Greggs (Westminster),"4, Westminster Underground Station, Bridge Street, Westminster, London, SW1A 2JR",Westminster,SW1A 2JR,51.5011814,-0.1253411
Greggs (Shadwell),"243 Whitechapel Road, Shadwell, London, E1 1DB",Whitechapel,E1 1DB,51.5191133,-0.0609415
Greggs (Whitton),"83 High Street, Whitton, Twickenham, TW2 7LD",Whitton,TW2 7LD,51.4506912,-0.3576294
Greggs (Wimbledon),"17 Wimbledon Bridge, Wimbledon, London, SW19 7NH",Wimbledon,SW19 7NH,51.4210085,-0.2064848
Greggs (Wimbledon),"Wimbledon Station, Wimbledon Bridge, Wimbledon, London, SW19 7NL",Wimbledon,SW19 7NL,51.4214319,-0.2061677
Greggs (Hornsey),"The Broadway, 7 High Road, Hornsey, London, N22 6DS",Wood Green,N22 6DS,51.5963806,-0.1095059
Greggs (North Finchley),"720 High Road, North Finchley, London, N12 9QD",Woodside Park,N12 9QD,51.6141512,-0.1760018
Greggs (Thamesmead West),"64 Powis Street, Thamesmead West, London, SE18 6LQ",Woolwich Arsenal,SE18 6LQ,51.4916893,0.0659723
Greggs (Thamesmead West),"6 Powis Street, Thamesmead West, London, SE18 6LF",Woolwich Arsenal,SE18 6LF,51.4911099,0.0678021
